"id","1c_id","type_client_id","type_payment_id","client_name","delivery_town","delivery_street","delivery_house","delivery_house_block","delivery_office","phone","user_company","company_full","edrpou","inn","code_index","region","area","city","street","house","house_block","office","created_at","updated_at","name","email"
"15","1234567","2","2","TESTИванов","","","0","","0","0987654312","TestFirm","NULL","NULL","1234567777","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-03-30 20:27:52","2018-08-04 00:00:00","",""
"16","NULL","2","2","Петров","","","0","","0","1432","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-13 20:33:09","2017-04-13 21:00:11","user44","user44@mail.ru"
"17","NULL","1","1","Иванов","","","0","","0","432432","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-13 21:12:42","2017-04-13 21:12:42","user45","user45@mail.ru"
"18","NULL","2","1","Bdf","132","132","132","132","132","1243","","","","","","","","","","","","","2017-04-13 21:21:40","2017-09-29 16:26:49","user46","mail123@mail.ru"
"1","NULL","1","1","trtretretr","Одесса","Ленина","33","","","0976541234","","","","3213213213","27332","","","","","","","","2017-05-11 19:26:02","2018-04-04 09:08:24","kuzma","kuzma@mail.ru"
"12","NULL","1","1","54354cvtresfg","","","0","","0","4324","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2017-05-11 19:38:21","2017-05-11 19:38:21","user7","v.kuzma@mail.ru"
"19","NULL","1","1","Петров","","","0","","0","1234567891","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2017-09-29 11:17:17","2017-09-29 11:17:17","user123","user123@km.ru"
"20","NULL","1","1","ytrytrt","54354343","54354343","54354343","","","1234567891_","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2017-09-29 11:18:54","2018-01-13 14:29:34","екуекуе","user345@km.ru"
"27","0","2","2","ИвановИ.И","","","0","","0","432432431__","Елтекс_FORT","NULL","NULL","347584","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2017-03-30 20:27:52","2018-01-31 15:18:30","user2user123123km","user2user123123@km.ru"
"29","0","2","2","ИвановИ.И","","","0","","0","432432431__","Елтекс_FORT","NULL","NULL","347584","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2017-03-30 20:27:52","2018-01-31 13:35:42","user2user12312_3km","user2user12312_3@km.ru"
"21","1","2","1","Firm UTA123","Одесса","Ленина","3","","","1234567810_","Иванов","","","","","","","","","","","","2017-09-29 17:44:56","2018-01-13 14:29:03","rtretretrer","t@tr.ry"
"56","1234567","2","2","TESTИванов","","","0","","0","0987654312","TestFirm","NULL","NULL","1234567777","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-03-30 20:27:52","2018-08-04 00:00:00","testuser1c",""
"57","1234567","2","2","TESTИванов","","","0","","0","0987654312","TestFirm","NULL","NULL","1234567777","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-03-30 20:27:52","2018-08-04 00:00:00","testuser1c",""
"58","1234567","2","2","TESTИванов","","","0","","0","0987654312","TestFirm","NULL","NULL","1234567777","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-03-30 20:27:52","2018-08-04 00:00:00","testuser1c",""
"59","1234567","0","2","TEST2Иванов","","","0","","0","0987654312","Test2Firm","NULL","NULL","1234567777","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-03-30 20:27:52","2018-08-04 00:00:01","testuser1c",""
"60","1234567","1","2","TEST2Иванов","","","0","","0","0987654312","Test2Firm","NULL","NULL","1234567777","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-03-30 20:27:52","2018-08-04 00:00:01","testuser1c",""
"61","1234561","1","2","TEST21Иванов","","","0","","0","0987654312","Test2Fireem","NULL","NULL","1234567777","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-03-30 20:27:52","2018-08-04 00:00:01","testuser1c",""
"62","1234562","1","2","TEST22Иванов","","","0","","0","0987654312","Test24Firm","NULL","NULL","1234567777","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-03-30 20:27:52","2018-08-04 00:00:01","testu54324523c",""
"63","1234561","1","2","TestUpdateИванов","","","0","","0","0987654312","Test2Fireem","NULL","NULL","1234567777","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-03-30 20:27:52","2018-08-04 00:00:01","testuser1c","ghgfgf@mail.ru"
